Cell_Quality	cell_count	site	plate	well	site_location	Metadata_dataset_split
Perfect	2340	SABER_Plate_1-Well5-29	SABER_Plate_1	Well5	29	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2179	SABER_Plate_1-Well5-29	SABER_Plate_1	Well5	29	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1738	SABER_Plate_1-Well5-29	SABER_Plate_1	Well5	29	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1497	SABER_Plate_1-Well5-29	SABER_Plate_1	Well5	29	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3898	SABER_Plate_1-Well3-85	SABER_Plate_1	Well3	85	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3569	SABER_Plate_1-Well3-85	SABER_Plate_1	Well3	85	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2041	SABER_Plate_1-Well3-85	SABER_Plate_1	Well3	85	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1238	SABER_Plate_1-Well3-85	SABER_Plate_1	Well3	85	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	999	SABER_Plate_1-Well3-85	SABER_Plate_1	Well3	85	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3697	SABER_Plate_1-Well5-83	SABER_Plate_1	Well5	83	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3432	SABER_Plate_1-Well5-83	SABER_Plate_1	Well5	83	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2063	SABER_Plate_1-Well5-83	SABER_Plate_1	Well5	83	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1111	SABER_Plate_1-Well5-83	SABER_Plate_1	Well5	83	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1110	SABER_Plate_1-Well5-83	SABER_Plate_1	Well5	83	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3541	SABER_Plate_1-Well6-55	SABER_Plate_1	Well6	55	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3294	SABER_Plate_1-Well6-55	SABER_Plate_1	Well6	55	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1987	SABER_Plate_1-Well6-55	SABER_Plate_1	Well6	55	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1498	SABER_Plate_1-Well6-55	SABER_Plate_1	Well6	55	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1290	SABER_Plate_1-Well6-55	SABER_Plate_1	Well6	55	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3525	SABER_Plate_1-Well4-39	SABER_Plate_1	Well4	39	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2931	SABER_Plate_1-Well4-39	SABER_Plate_1	Well4	39	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1391	SABER_Plate_1-Well4-39	SABER_Plate_1	Well4	39	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	872	SABER_Plate_1-Well4-39	SABER_Plate_1	Well4	39	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	692	SABER_Plate_1-Well4-39	SABER_Plate_1	Well4	39	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4226	SABER_Plate_1-Well3-67	SABER_Plate_1	Well3	67	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3196	SABER_Plate_1-Well3-67	SABER_Plate_1	Well3	67	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1727	SABER_Plate_1-Well3-67	SABER_Plate_1	Well3	67	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	884	SABER_Plate_1-Well3-67	SABER_Plate_1	Well3	67	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	801	SABER_Plate_1-Well3-67	SABER_Plate_1	Well3	67	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3344	SABER_Plate_1-Well2-59	SABER_Plate_1	Well2	59	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2240	SABER_Plate_1-Well2-59	SABER_Plate_1	Well2	59	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	634	SABER_Plate_1-Well2-59	SABER_Plate_1	Well2	59	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	500	SABER_Plate_1-Well2-59	SABER_Plate_1	Well2	59	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	490	SABER_Plate_1-Well2-59	SABER_Plate_1	Well2	59	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4557	SABER_Plate_1-Well1-87	SABER_Plate_1	Well1	87	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3378	SABER_Plate_1-Well1-87	SABER_Plate_1	Well1	87	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2791	SABER_Plate_1-Well1-87	SABER_Plate_1	Well1	87	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	856	SABER_Plate_1-Well1-87	SABER_Plate_1	Well1	87	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	729	SABER_Plate_1-Well1-87	SABER_Plate_1	Well1	87	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	1727	SABER_Plate_1-Well6-19	SABER_Plate_1	Well6	19	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	1475	SABER_Plate_1-Well6-19	SABER_Plate_1	Well6	19	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	802	SABER_Plate_1-Well6-19	SABER_Plate_1	Well6	19	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	717	SABER_Plate_1-Well6-19	SABER_Plate_1	Well6	19	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	546	SABER_Plate_1-Well6-19	SABER_Plate_1	Well6	19	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	4550	SABER_Plate_1-Well4-75	SABER_Plate_1	Well4	75	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3740	SABER_Plate_1-Well4-75	SABER_Plate_1	Well4	75	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	2625	SABER_Plate_1-Well4-75	SABER_Plate_1	Well4	75	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1100	SABER_Plate_1-Well4-75	SABER_Plate_1	Well4	75	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	881	SABER_Plate_1-Well4-75	SABER_Plate_1	Well4	75	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	5506	SABER_Plate_1-Well5-47	SABER_Plate_1	Well5	47	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3537	SABER_Plate_1-Well5-47	SABER_Plate_1	Well5	47	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	3499	SABER_Plate_1-Well5-47	SABER_Plate_1	Well5	47	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	881	SABER_Plate_1-Well5-47	SABER_Plate_1	Well5	47	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	677	SABER_Plate_1-Well5-47	SABER_Plate_1	Well5	47	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3869	SABER_Plate_1-Well5-74	SABER_Plate_1	Well5	74	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3341	SABER_Plate_1-Well5-74	SABER_Plate_1	Well5	74	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1736	SABER_Plate_1-Well5-74	SABER_Plate_1	Well5	74	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1115	SABER_Plate_1-Well5-74	SABER_Plate_1	Well5	74	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	1099	SABER_Plate_1-Well5-74	SABER_Plate_1	Well5	74	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	6263	SABER_Plate_1-Well6-46	SABER_Plate_1	Well6	46	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	4094	SABER_Plate_1-Well6-46	SABER_Plate_1	Well6	46	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	2911	SABER_Plate_1-Well6-46	SABER_Plate_1	Well6	46	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	2098	SABER_Plate_1-Well6-46	SABER_Plate_1	Well6	46	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	1070	SABER_Plate_1-Well6-46	SABER_Plate_1	Well6	46	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	5011	SABER_Plate_1-Well2-86	SABER_Plate_1	Well2	86	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3105	SABER_Plate_1-Well2-86	SABER_Plate_1	Well2	86	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1952	SABER_Plate_1-Well2-86	SABER_Plate_1	Well2	86	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	598	SABER_Plate_1-Well2-86	SABER_Plate_1	Well2	86	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	546	SABER_Plate_1-Well2-86	SABER_Plate_1	Well2	86	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	3924	SABER_Plate_1-Well3-58	SABER_Plate_1	Well3	58	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	3012	SABER_Plate_1-Well3-58	SABER_Plate_1	Well3	58	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	1360	SABER_Plate_1-Well3-58	SABER_Plate_1	Well3	58	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	770	SABER_Plate_1-Well3-58	SABER_Plate_1	Well3	58	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	763	SABER_Plate_1-Well3-58	SABER_Plate_1	Well3	58	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	1131	SABER_Plate_1-Well6-82	SABER_Plate_1	Well6	82	ALLBATCHES___SABER_Plate_1___ALLWELLS
Empty	685	SABER_Plate_1-Well6-82	SABER_Plate_1	Well6	82	ALLBATCHES___SABER_Plate_1___ALLWELLS
Great	492	SABER_Plate_1-Well6-82	SABER_Plate_1	Well6	82	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	389	SABER_Plate_1-Well6-82	SABER_Plate_1	Well6	82	ALLBATCHES___SABER_Plate_1___ALLWELLS
Imperfect	339	SABER_Plate_1-Well6-82	SABER_Plate_1	Well6	82	ALLBATCHES___SABER_Plate_1___ALLWELLS
Perfect	2956	SABER_Plate_1-Well1-78	SABER_Plate_1	Well1	78	ALLBATCHES___SABER_Plate_1___ALLWELLS
Bad	2134	SABER_Plate_1-Well1-78	SABER_Plate_1	Well1	78	ALLBATCHES___SABER_Plate_1___ALLWELLS
